Run,File,Energy_pkg_Joules,Energy_psys_Joules,Time_elapsed_seconds,Memory_used_kb
39,KMC.R,26.78,47.18,0:01.93,263168
40,KMC.R,27.00,47.61,0:01.93,262868
41,KMC.R,27.05,47.60,0:01.93,263116
42,KMC.R,26.29,46.43,0:01.89,263052
43,KMC.R,26.45,46.49,0:01.90,263108
44,KMC.R,26.79,47.20,0:01.92,263300
45,KMC.R,26.51,46.54,0:01.89,263052
46,KMC.R,26.76,47.16,0:01.92,263128
47,KMC.R,26.41,46.45,0:01.89,263124
48,KMC.R,26.68,47.02,0:01.90,262876
49,KMC.R,26.44,46.53,0:01.90,262984
50,KMC.R,27.31,48.07,0:01.96,263020
